groove,1,Everywhere We Go,12,"Electronic, Pop"
groove,2,Coastal Sunday 2,24,"Pop, Rock"
combat,1,Day One Puncher,14,"HipHop, Alt"
combat,2,Space Marine Bootcamp 2,19,Electronic
combat,2,Tropical Beats 3,13,"HipHop, World"
groove,2,Starlit Pointe,14,Classical
groove,3,From Shadows To Light 2,20,"Cinematic, Pop"
combat,1,Gear Up 2,14,HipHop
combat,2,Rage Mode,19,"Rock, Alt"
combat,3,10 MIN Sprint,15,"Electronic, World"
groove,1,Mobility & Flow,15,Electronic
groove,3,Carefree Fiesta 5,13,"World, Pop"
combat,1,Vintage Vibe 2,15,"Soul, Rock"
combat,2,10 MIN Cardio Boxing,14,"Electronic, Pop"
combat,2,5 MIN Fast Burning  6,8,"HipHop, Electronics"
groove,2,1000 Steps Cardio 1,13,"Electronic, Pop"
groove,3,Wings of Rebirth 2,14,Cinematic
combat,1,Battle Bash 2,16,"Electronic, Cinematic"
combat,2,Own the Drop 1,16,"Electronic, Pop"
combat,3,Eastern Realm,13,Electronic
groove,2,5 MIN Leg Workout 2,10,Rock
groove,2,Voyage of the Brave,15,Cinematic
combat,1,Happy Hour 3,10,Pop
combat,2,15 MIN Cardio Boxing 1,14,"Electronic, HipHop"
combat,2,Shadowboxing Drills,11,"HipHop, Alt"
groove,2,5 MIN Abs Blast 2,9,"Pop, Rock"
groove,3,Supa Fire 2,14,"HipHop, Pop"
combat,1,Boxing Basics 1,14,"Alt, Rock"
combat,2,Own the Drop 2,16,"Electronic, Pop"
combat,3,20 MIN Cardio Boxing 1,20,"World, HipHop"
groove,2,Flying Daggers  Prelude,10,Cinematic
groove,3,HIIT Groove 2,15,Pop
combat,1,Legendary Rise  Prelude,14,"Cinematic, HipHop"
combat,2,5 MIN Fast Burning  7,8,Rock
combat,3,20 MIN Cardio Boxing 2,20,HipHop
groove,1,Arm Sculpt Control,12,"Electronic, Pop"
groove,3,Full Body Burn 2,14,"Pop, Electronic"
flow,0,Tutorial - FlowFit,0,N/A
flow,1,Moving Meditation 1,10,Ambient
flow,1,Stretch & Settle,16,Ambient
combat,1,Low Impact Cardio 1,18,"Pop, Electronic"
combat,2,Battle Rope Bootcamp 4,16,Rock
combat,2,Old School Vibes 5,14,HipHop
groove,1,500 Steps Cardio 1,14,Pop
groove,2,Feel Good Boost 1,17,Pop
combat,1,15 MIN Cardio Boxing 2,15,"Pop, Soul"
combat,2,5 MIN Fast Burning  8,8,"HipHop, Electronic"
combat,3,HIIT Combat Power,12,"Electronic, Pop"
groove,1,Capoeira Fusion,14,"Pop, HipHop"
groove,2,Vintage Swing 3,11,Rock
combat,1,Boxing Basics 2,13,HipHop
combat,2,In the Dark House 3,14,Electronic
combat,3,Elbow Concerto,11,Cinematic
groove,1,Core Strike: Wood Chop 1,9,"Alt, HipHop, Pop"
groove,2,12 MIN Cardio Fit 2,14,Electronic
combat,1,Summer Energy,15,"Electronic, Pop"
combat,2,15 MIN Cardio Boxing 3,16,"Electronic, Pop"
combat,3,Shadowboxing: Flow 1,13,"HipHop, Alt"
groove,1,Post-Meal Walk 1,14,"Electronic, Pop"
groove,2,Show-Tempo Squats,15,"Electronic, Pop"
combat,1,Low Impact Cardio 2,21,Pop
combat,2,15 MIN Cardio Boxing 4,16,"Pop, Electronic"
combat,3,Battle Rope Bootcamp 5,13,Electronic
flow,1,Qi Gong,12,Ambient
groove,2,Full Body Burn 3,13,Electronic
groove,3,Windmill Arms Workout,15,"Electronic, Pop"
combat,1,Boxing Basics 3,12,"Rock, Alt"
combat,2,Player One 3,12,"Rock, Pop"
combat,3,Relentless Surge,13,HipHop
groove,2,Dancehall Heat 3,14,"Alt, Pop"
groove,3,1000 Steps Cardio 2,14,"Alt, Pop"
combat,1,Pulsing Drums,11,Electronic
combat,2,Arena Ascension 1,13,"Rock, Alt"
combat,3,Sonic Strike 3,14,Cinematic
flow,1,Moving Meditation 2,10,Ambient
groove,2,CheerFit Flow 1,13,Pop
groove,3,12 MIN HIIT Interval,12,Pop
combat,1,Call of the Tribe,12,"Electronic, Alt"
combat,2,5 MIN Fast Burning  9,6,"Electronic, Alt"
combat,3,On the Road 3,14,"Rock, Pop"
groove,1,5 MIN Cardio,8,Alt
groove,1,Country Pop Steps,12,Pop
groove,1,Instant Mood Boost,10,Pop
groove,2,Abs Rhythm Blast 2,14,Pop
combat,1,Legendary Rise: Power,13,"HipHop, Cinematic"
combat,2,Elbow Party,11,Electronic
combat,3,Metal Combat: Raid,14,"Rock, Alt"
groove,2,80's Vibe Workout,15,"Pop, Electronic"
groove,3,1000 Steps Cardio 3,13,Rock
combat,2,Happy Hour 4,13,Pop
combat,3,Electronic Hurracane,13,"HipHop, Electronic"
